Datum,GW
2017-04-28,4.035
2017-05-30,3.835
2017-06-28,3.875
2017-08-02,3.645
2017-08-30,3.635
2017-09-27,3.845
2017-10-31,4.115
2017-11-30,4.295
2018-01-02,4.355
2018-01-30,4.235
2018-02-27,4.105
2018-03-27,4.205
2018-05-02,4.055
2018-05-28,3.885
2018-06-27,3.795
2018-07-26,3.595
2018-08-22,3.635
2018-09-26,3.605
2018-10-25,3.605
2018-11-29,3.665
2018-12-27,3.735
2019-02-26,3.965
2019-04-23,3.805
2021-08-16,3.855
2025-04-17,3.745
2025-06-05,3.655
2025-07-04,3.595
2025-08-04,3.925
2025-09-11,3.805
2025-10-17,3.853166667
2025-10-17,3.823333333
2025-10-17,3.814166667
2025-10-18,3.80675
2025-10-18,3.806416667
2025-10-18,3.801083333
2025-10-18,3.796833333
2025-10-18,3.800083333
2025-10-18,3.799916667
2025-10-19,3.800666667
2025-10-19,3.7995
2025-10-19,3.795083333
2025-10-19,3.793916667
2025-10-19,3.800583333
2025-10-19,3.791416667
2025-10-20,3.796583333
2025-10-20,3.795166667
2025-10-20,3.78875
2025-10-20,3.790583333
2025-10-20,3.79175
2025-10-20,3.788916667
2025-10-21,3.786916667
2025-10-21,3.790583333
2025-10-21,3.784916667
2025-10-21,3.787166667
2025-10-21,3.78275
2025-10-21,3.776416667
2025-10-22,3.781416667
2025-10-22,3.781416667
2025-10-22,3.78175
2025-10-22,3.786
2025-10-22,3.792833333
2025-10-22,3.792083333
2025-10-23,3.795666667
2025-10-23,3.796666667
2025-10-23,3.793166667
2025-10-23,3.799666667
2025-10-23,3.801666667
2025-10-23,3.7995
2025-10-24,3.80175
2025-10-24,3.803416667
2025-10-24,3.806083333
2025-10-24,3.807166667
2025-10-24,3.806833333
2025-10-24,3.825166667
2025-10-25,3.83275
2025-10-25,3.8425
2025-10-25,3.851833333
2025-10-25,3.857166667
2025-10-25,3.860583333
2025-10-25,3.867083333
2025-10-26,3.865416667
2025-10-26,3.871333333
2025-10-26,3.873333333
2025-10-26,3.873916667
2025-10-26,3.880416667
2025-10-26,3.873
2025-10-27,3.87625
2025-10-27,3.883083333
2025-10-27,3.908083333
2025-10-27,3.929083333
2025-10-27,3.940416667
2025-10-27,3.947
2025-10-28,3.951
2025-10-28,3.949333333
2025-10-28,3.947083333
2025-10-28,3.945666667
2025-10-28,3.953
2025-10-28,3.97775
2025-10-29,3.994416667
2025-10-29,4.001583333
2025-10-29,4.00375
2025-10-29,4.007583333
2025-10-29,4.004083333
2025-10-29,4.00575
2025-10-30,4.0025
2025-10-30,4.005166667
2025-10-30,4.024916667
2025-10-30,4.05375
2025-10-30,4.096833333
2025-10-30,4.127083333
2025-10-31,4.142
2025-10-31,4.145833333
2025-10-31,4.14075
2025-10-31,4.143
2025-10-31,4.141916667
2025-10-31,4.135166667
2025-11-01,4.128333333
2025-11-01,4.1235
2025-11-01,4.117
2025-11-01,4.118416667
2025-11-01,4.117666667
2025-11-01,4.111666667
2025-11-02,4.108583333
2025-11-02,4.104916667
2025-11-02,4.0985
2025-11-02,4.09225
2025-11-02,4.088333333
2025-11-02,4.08325
2025-11-03,4.081666667
2025-11-03,4.076583333
2025-11-03,4.064
2025-11-03,4.065333333
2025-11-03,4.067583333
2025-11-03,4.057333333
2025-11-04,4.049166667
2025-11-04,4.052
2025-11-04,4.048833333
2025-11-04,4.046083333
2025-11-04,4.04325
2025-11-04,4.03575
2025-11-05,4.0395
2025-11-05,4.037583333
2025-11-05,4.03225
2025-11-05,4.033916667
2025-11-05,4.03325
2025-11-05,4.025166667
2025-11-06,4.02575
2025-11-06,4.021416667
2025-11-06,4.0205
2025-11-06,4.015666667
2025-11-06,4.015416667
2025-11-06,4.007916667
2025-11-07,4.010166667
2025-11-07,4.007916667
2025-11-07,4.006666667
2025-11-07,4.006666667
2025-11-07,4.006666667
2025-11-07,3.999666667
2025-11-08,3.9925
2025-11-08,3.993333333
2025-11-08,3.994083333
2025-11-08,3.994083333
2025-11-08,3.985666667
2025-11-08,3.985833333
2025-11-09,3.97925
2025-11-09,3.9795
2025-11-09,3.973166667
2025-11-09,3.976666667
2025-11-09,3.97125
2025-11-09,3.965416667
2025-11-10,3.964416667
2025-11-10,3.960333333
2025-11-10,3.965833333
2025-11-10,3.958833333
2025-11-10,3.959583333
2025-11-10,3.953
2025-11-11,3.9535
2025-11-11,3.946166667
2025-11-11,3.9455
2025-11-11,3.94375
2025-11-11,3.9465
2025-11-11,3.939333333
2025-11-12,3.934166667
2025-11-12,3.9345
2025-11-12,3.935
