Datum,GW
23/08/07,2.97
23/07/12,2.87
23/06/12,2.84
23/05/17,3
23/04/19,3.62
23/03/24,4.1
23/02/16,3.27
23/01/19,4.04
22/12/14,2.91
22/11/17,2.68
22/10/21,2.65
22/09/22,2.64
22/08/19,2.83
22/07/19,2.85
22/06/17,3.15
22/05/18,3.05
22/03/16,3.65
22/02/17,3.46
22/01/14,3.04
21/12/13,3.02
21/11/10,3.04
21/10/13,2.99
21/09/14,3.08
21/08/13,3.21
21/07/13,3.6
21/06/18,3.95
21/03/24,3.95
21/02/16,3.84
21/01/13,4.02
20/12/03,2.93
20/11/05,2.89
20/10/07,2.91
20/09/16,2.99
20/07/28,3.36
20/07/02,3.43
20/06/05,3.48
20/05/15,3.62
20/04/16,3.75
20/03/04,3.81
20/02/05,3.78
20/01/07,3.92
19/12/09,3.71
19/11/04,3.09
19/10/07,2.98
19/09/10,3.04
19/07/02,3.42
19/06/05,3.52
19/05/08,3.63
